m/z;Intensity
196.2509;24.7
196.3198;44.5
196.3516;24.9
196.3844;26.5
196.4464;29.8
196.4592;30.9
196.5231;48.6
196.712;16
196.7394;23.8
196.8032;20.3
196.8425;19296.9
196.8615;27.6
196.9365;22.9
196.9577;43.9
196.9923;51.6
196.9993;30.6
197.0015;39.9
197.0035;40.9
197.012;145
197.0221;726.2
197.0453;486.8
197.0563;163.8
197.0609;36.4
197.0631;32.6
197.0745;37.9
197.0816;15849.1
197.1183;146.3
197.1293;51.2
197.1543;1702.9
197.1599;37.2
197.2115;21.2
197.2251;24.3
197.2684;51.9
197.2857;34.8
197.3525;22.4
197.4229;25
197.5156;50.2
197.7461;21
197.8923;42.1
197.9082;21.5
197.9344;35
197.9616;29.7
197.9698;48.1
198.0185;25.8
198.0402;80.4
198.0657;42
198.0771;577.2
198.0857;249.3
198.1363;24.3
198.1848;27.3
198.2248;24.8
198.2327;27.1
198.2524;24.5
198.2741;32.5
198.3447;27.7
198.3472;29.1
198.3489;22.3
198.3711;43.5
198.4113;26.2
198.444;20.3
198.4601;20
198.5975;32.1
198.5995;38.1
198.602;27
198.6301;41.3
198.6324;39.1
198.6483;33
198.6671;18.7
198.7378;39
198.7477;27.9
198.7965;25
198.8395;11751
198.8909;34.4
198.9172;28.3
198.9239;314
198.9425;28.5
198.9778;238.1
198.9914;29.2
199.0223;192.8
199.0377;2492.3
199.0433;21.5
199.061;4824.5
199.0721;6602.5
199.0974;5386.5
199.1085;834.8
199.1337;773.1
199.1504;34.2
199.17;3760.1
199.2759;20.1
199.3491;27
199.3827;27.4
199.3979;29.4
199.45;36.5
199.455;27.2
199.5186;50
199.5261;25.9
199.5344;29.5
199.6259;21
199.6688;20.3
199.7763;35.7
199.8495;27
199.8622;29.2
199.9024;26.2
199.9708;20.7
199.9812;34
200.0562;208.5
200.066;36.1
200.0757;54.5
200.0925;18941
200.1287;318.8
200.1423;49.2
200.1692;33.7
200.1949;43.1
200.5051;29.9
200.5841;26.1
200.6185;21.8
200.643;24.3
200.7773;22.6
200.8106;24.2
200.8365;417.7
200.8772;26.3
200.9497;34.1
200.9612;31.6
200.9741;21
200.985;55.1
201.015;19.3
